,,,
debt,欠款，债务；负债情况；,,
assist,帮助，协助；,,
learned,博学的；学术性的，学者的；后天的，习得的,,
official,官员，高级职员，正式的，官方的，,,
uncertainty,不确定，犹豫，无把握；拿不定的事，,certainty,确实，确定性；确实的事，必然的事
aging,变老的，变旧的,,
renew,延长，使续期，重新开始，更换,,
schedule,计划（表），进度表；,,
escape,逃跑，逃脱；幸免于难，泄露,,
warning,警示，提醒，告诫；,,
designer,设计师，设计者；谋划者,,
threaten,威胁，恐吓；危及，对……构成威胁；,,
obesity,过度肥胖，肥胖症,,
well-being,幸福，安康；（国家的）繁荣,,
personality,个性，性格；魅力，品格,,
predict, 预言，预计，预卜,,
guilty,内疚的，羞愧的；有罪的，有过失的,,
loss,失去，丧失；亏损；死亡，去世；,,
equal,相等的，相同的；平等的，同等的；,,
despite,尽管，即使；虽然,,
acknowledge,承认；认可； 跟……打招呼，理会；,,
flaw,缺点，缺陷；瑕疵，错误,,
instant,立刻的，马上的；速食的，即食的；速溶的,,
vessel,船，舰；（人或动物的）血管，（植物的）导管；（盛液体用的）容器，,,
interpret,解释，说明；口译；把……理解为；,,
engineering,工程，工程学；工程设计,,
commerce,贸易，商业；,commercial,商业的
sufficient,足够的，充足的；,,
whereas,但是，然而；鉴于,,
peer,同龄人，同等地位的人，相匹敌的人；,,
convince,使确信，使信服；说服，劝服,province,省份
interference,干预，介入，干扰,,
stream, 小河，小溪；水流，气流，一连串,,
administrative,管理的，行政的,,
regardless,不顾，不论,regard,注视，凝视；<古>注意，留心；<古>与……有关，涉及
embrace,拥抱；抱,,
forth,从某时往前，从某处向外,,
qualification,资格，学历；素质，机能，合格,,
consumption,消费，消耗；食用，引用，吸入；,,
session,一段时间，会期，开庭期，学年,,
mule,骡子；越境运毒者；（室内使用的）拖鞋；,,
splendid,极佳的，非常好的；壮丽的，灿烂的，辉煌的；,,
connection,关系，联系；连接，接通；连接物，,,
approach,方法，态度，靠近，临近；接洽，交谈；对付，处理；,,
tent,帐篷；,,
ethic,伦理标准；伦理，道德体系，伦理学,,
surroundings,周围环境，周围事物,,
