refine,提炼，精炼，改善，改良
undermine,逐渐削弱，损害
mechanism,机件；途径，方法；（生物体内的）机制，构造；
apology,道歉，认错
socialize,交往，交际；社交，与人交往
organism,生物，有机体，有机体系
revenue,（企业、组织的）收入，收益；
structure,?结构，构造；结构体，
penalty,刑罚，罚金，判罚，罚球，害处
boundary,分界线，边界；界限，范围；
powerful,有权势的，强效的，有感染力的
vocabulary,词汇表，词汇量，专业词汇
corporation,社团，公司，法人，大公司，大企业
bargain,便宜货，减价品；协议，交易
immediate,立刻的，即时的；当前的，紧接的
distress,忧虑，悲伤；贫困；危难，险情；
energetic,?精力充沛的，充满活力的；积极的；
recognition,承认，接受；表彰，赞誉；认出，识别；
overall,?总的，全面的；所有的，
make-up,化妆品；（美）补考；性格；构造；
washing,洗涤，洗刷；待洗
tire,（使）感到累，（使）感到疲劳；厌倦，厌烦
talented,有天资的，有才能的
bestseller,畅销书；畅销作品
tedious,冗长的，单调乏味的
interrupt,打断，打扰；使暂停，使中断；阻断，遮挡
latter,后者的；末期的，后期的
mechanical,?机械（方面）的；机械般的，呆板的；机械学的
philosophy,哲学；哲学体系，思想体系；人生哲学，
privacy,隐私，秘密；清静，独处
faculty,院系，全体教员，机能，能力
operate,操纵，操作；运转，运行 ；
management,?经营，管理，安排；管理人员，管理层；
official,官员，高级职员，正式的，官方的，
uncertainty,不确定，犹豫，无把握；拿不定的事，
aging,变老的，变旧的
renew,延长，使续期，重新开始，更换
schedule,计划（表），进度表；
escape,逃跑，逃脱；幸免于难，泄露
learned,?博学的；学术性的，学者的；
assist,帮助，协助；
