potential,潜在的，可能的,
disorder,失调，紊乱,
fuel,燃料,
guarantee,担保，确保,
fairly,相当的，公正的,
scope,范围，余地，机会,
pour,倾倒，倒出,
trick,诡计，花招，戏法,
urgent,紧迫的，紧急的，急切的,
contrary,,相对立的，相反的  强调 相反地
minority,少数人，少数民族,
approve,同意，赞成，赞许,
integrate,,合并，融入群体
regarding,关于，至于,
venture,投机活动，风险项目,
peak,顶峰，高峰，山顶,
settle,解决，殖民定居，使平静,
combine,结合，组合，合并，协力,
annual,一年一次，年度的,
,,
depression,抑郁，萧条期,
factor,因素，要素，因子,
incident,事件，事故,
contrast,差异，悬殊,强调形成对比
provision,提供，供给,
obey,服从，听从,
insist,坚持，坚决要求,
suffer,经受疼痛，遭受,
steer,驾驶，行驶,
perceive,看待，视为,
nuclear,原子核的，核能的,
construct,建造，修建,
expose,显露，揭露,
universal,全世界的，通用的,
dim,昏暗的，模糊的,
ignorance,愚昧，无知,
device,设备，仪器,
terrorist,恐怖分子,
payment,付款，报答，报应,
fascinating,让人着迷的，极有吸引力的,

moment,片刻；瞬间；刹那；时刻；时候；
license,许可证；执照；证书；放纵；放肆；无法无天；许可；准许；
identity,身份；个性；特性；本身；本体；
shell,壳；龟壳；蟹壳；虾壳；壳；核壳；果壳；炮弹；
negotiation,谈判；协商；洽谈；谈判；协商；洽谈
emotional,感情的；情感的；情绪的；感人的；
rate,速率；速度；比率；率；率；
honor,荣幸；光荣；殊荣；名誉；
witness,见证人；目击者；
deny,否认；拒绝给予；拒绝…的要求；
buyer,购买者；买主；采购员
congress,代表大会，国会
declare,宣告；宣布；声明；表态；发表意见；
,
politician,从政者，政治家
analyze,分析；剖析；细察；化验；分析；
productive,富饶的；肥沃的；有生产力的；多产的；高产的；
ladder,梯子；等级；级别；梯状物；
prisoner,囚犯；犯人；被困之人；受到束缚的人
aircraft,航空器；飞机
motor,发动机；引擎；马达；汽车；原动力；电动机；
interval,间隔；间歇；间距；间隙；空隙；
compose,使（自己）平静；组成；构成；
mayor,市长
otherwise,否则，不然；除此之外；
olympic,奥林匹克
pace,速度，步伐，节奏，步幅
studio,工作室；画室；练习室；排练房；摄影室；设计室；演播室；摄影棚；
appliance,器械；装置；（尤指）家用电器；
,
curve,曲线；曲线状物；弯曲部分；
crew,全体船员；机组人员，专业团队
dying,垂死的；临死的；濒死的；
department,部；部门；分部；部门；
therefore,所以，因此；
pressure,按；压；挤；压力；压强；
protective,保护的；防护的；
recommendation,推荐；建议；举荐；推荐；介绍
undergraduate,在校本科生；大学生
unemployment,失业（状态）；失业人数；失业率
withstand,经受住；顶住；抵御；忍受
essay,随笔；论说文；论文；论说文；作文；短文；尝试；企图；
sight,视力；视觉；见；看见；视域；
federal,联邦（制）的；联盟的；同盟的；结盟的；
literacy,读写能力；识字
creature,生物；（尤指）动物；人（用于表示鄙视、怜悯或亲热等感情色彩）；
combination,结合体；联合体；混合体；结合；联合；组合；
scenery,风景；景致；舞台布景
